match_date,home_team_name,away_team_name,home_team_score,away_team_score,year,home_rank,home_score,away_rank,away_score,home_n_participation,away_n_participation,home_winner,draw,away_winner,rank_diff,team_score_diff,score_diff,best_rank_winner
1958-06-15,Hungary,Mexico,4,0,1958,2.0,1968.0,28.0,1719.0,3,3,1,0,0,-26.0,4,249.0,1
1958-06-15,Brazil,Soviet Union,2,0,1958,1.0,2140.0,5.0,1923.0,5,0,1,0,0,-4.0,2,217.0,1
1958-06-15,England,Austria,2,2,1958,3.0,1946.0,14.0,1819.0,2,2,0,1,0,-11.0,0,127.0,0
1958-06-17,Northern Ireland,Czechoslovakia,2,1,1958,20.0,1773.0,12.0,1860.0,0,3,1,0,0,8.0,1,-87.0,0
1958-06-17,Wales,Hungary,2,1,1958,22.0,1759.0,2.0,1968.0,0,3,1,0,0,20.0,1,-209.0,0
1958-06-17,Soviet Union,England,1,0,1958,5.0,1923.0,3.0,1946.0,0,2,1,0,0,2.0,1,-23.0,0
1958-06-19,Brazil,Wales,1,0,1958,1.0,2140.0,22.0,1759.0,5,0,1,0,0,-21.0,1,381.0,1
1958-06-19,France,Northern Ireland,4,0,1958,4.0,1936.0,20.0,1773.0,4,0,1,0,0,-16.0,4,163.0,1
1958-06-19,Sweden,Soviet Union,2,0,1958,8.0,1901.0,5.0,1923.0,3,0,1,0,0,3.0,2,-22.0,0
1958-06-19,West Germany,Yugoslavia,1,0,1958,11.0,1866.0,9.0,1898.0,1,3,1,0,0,2.0,1,-32.0,0
1958-06-24,Brazil,France,5,2,1958,1.0,2140.0,4.0,1936.0,5,4,1,0,0,-3.0,3,204.0,1
1958-06-24,Sweden,West Germany,3,1,1958,8.0,1901.0,11.0,1866.0,3,1,1,0,0,-3.0,2,35.0,1
1958-06-28,France,West Germany,6,3,1958,4.0,1936.0,11.0,1866.0,4,1,1,0,0,-7.0,3,70.0,1
1958-06-29,Brazil,Sweden,5,2,1958,1.0,2140.0,8.0,1901.0,5,3,1,0,0,-7.0,3,239.0,1
1962-05-30,Uruguay,Colombia,2,1,1962,14.0,1857.0,81.0,1459.0,3,0,1,0,0,-67.0,1,398.0,1
1962-05-30,Chile,Switzerland,3,1,1962,17.0,1825.0,44.0,1612.0,2,4,1,0,0,-27.0,2,213.0,1
1962-05-30,Brazil,Mexico,2,0,1962,1.0,2193.0,16.0,1845.0,6,4,1,0,0,-15.0,2,348.0,1
1962-05-30,Argentina,Bulgaria,1,0,1962,5.0,1959.0,23.0,1732.0,3,0,1,0,0,-18.0,1,227.0,1
1962-05-31,Soviet Union,Yugoslavia,2,0,1962,2.0,2018.0,7.0,1931.0,1,4,1,0,0,-5.0,2,87.0,1
1962-05-31,West Germany,Italy,0,0,1962,6.0,1935.0,11.0,1893.0,2,4,0,1,0,-5.0,0,42.0,0
1962-05-31,Czechoslovakia,Spain,1,0,1962,4.0,1969.0,10.0,1894.0,4,2,1,0,0,-6.0,1,75.0,1
1962-05-31,Hungary,England,2,1,1962,3.0,1990.0,8.0,1928.0,4,3,1,0,0,-5.0,1,62.0,1
1962-06-02,Yugoslavia,Uruguay,3,1,1962,7.0,1931.0,14.0,1857.0,4,3,1,0,0,-7.0,2,74.0,1
1962-06-02,Chile,Italy,2,0,1962,17.0,1825.0,11.0,1893.0,2,4,1,0,0,6.0,2,-68.0,0
1962-06-02,Brazil,Czechoslovakia,0,0,1962,1.0,2193.0,4.0,1969.0,6,4,0,1,0,-3.0,0,224.0,0
1962-06-02,England,Argentina,3,1,1962,8.0,1928.0,5.0,1959.0,3,3,1,0,0,3.0,2,-31.0,0
1962-06-03,Soviet Union,Colombia,4,4,1962,2.0,2018.0,81.0,1459.0,1,0,0,1,0,-79.0,0,559.0,0
1962-06-03,West Germany,Switzerland,2,1,1962,6.0,1935.0,44.0,1612.0,2,4,1,0,0,-38.0,1,323.0,1
1962-06-03,Spain,Mexico,1,0,1962,10.0,1894.0,16.0,1845.0,2,4,1,0,0,-6.0,1,49.0,1
1962-06-03,Hungary,Bulgaria,6,1,1962,3.0,1990.0,23.0,1732.0,4,0,1,0,0,-20.0,5,258.0,1
1962-06-06,Soviet Union,Uruguay,2,1,1962,2.0,2018.0,14.0,1857.0,1,3,1,0,0,-12.0,1,161.0,1
1962-06-06,West Germany,Chile,2,0,1962,6.0,1935.0,17.0,1825.0,2,2,1,0,0,-11.0,2,110.0,1
1962-06-06,Brazil,Spain,2,1,1962,1.0,2193.0,10.0,1894.0,6,2,1,0,0,-9.0,1,299.0,1
1962-06-06,Hungary,Argentina,0,0,1962,3.0,1990.0,5.0,1959.0,4,3,0,1,0,-2.0,0,31.0,0
1962-06-07,Yugoslavia,Colombia,5,0,1962,7.0,1931.0,81.0,1459.0,4,0,1,0,0,-74.0,5,472.0,1
1962-06-07,Italy,Switzerland,3,0,1962,11.0,1893.0,44.0,1612.0,4,4,1,0,0,-33.0,3,281.0,1
1962-06-07,Mexico,Czechoslovakia,3,1,1962,16.0,1845.0,4.0,1969.0,4,4,1,0,0,12.0,2,-124.0,0
1962-06-07,England,Bulgaria,0,0,1962,8.0,1928.0,23.0,1732.0,3,0,0,1,0,-15.0,0,196.0,0
1962-06-10,Brazil,England,3,1,1962,1.0,2193.0,8.0,1928.0,6,3,1,0,0,-7.0,2,265.0,1
1962-06-10,Chile,Soviet Union,2,1,1962,17.0,1825.0,2.0,2018.0,2,1,1,0,0,15.0,1,-193.0,0
1962-06-10,Czechoslovakia,Hungary,1,0,1962,4.0,1969.0,3.0,1990.0,4,4,1,0,0,1.0,1,-21.0,0
1962-06-10,Yugoslavia,West Germany,1,0,1962,7.0,1931.0,6.0,1935.0,4,2,1,0,0,1.0,1,-4.0,0
1962-06-13,Brazil,Chile,4,2,1962,1.0,2193.0,17.0,1825.0,6,2,1,0,0,-16.0,2,368.0,1
1962-06-13,Czechoslovakia,Yugoslavia,3,1,1962,4.0,1969.0,7.0,1931.0,4,4,1,0,0,-3.0,2,38.0,1
1962-06-16,Chile,Yugoslavia,1,0,1962,17.0,1825.0,7.0,1931.0,2,4,1,0,0,10.0,1,-106.0,0
1962-06-17,Brazil,Czechoslovakia,3,1,1962,1.0,2193.0,4.0,1969.0,6,4,1,0,0,-3.0,2,224.0,1
1966-07-11,England,Uruguay,0,0,1966,1.0,2088.0,13.0,1846.0,4,4,0,1,0,-12.0,0,242.0,0
1966-07-12,West Germany,Switzerland,5,0,1966,2.0,2042.0,44.0,1602.0,3,5,1,0,0,-42.0,5,440.0,1
1966-07-12,Brazil,Bulgaria,2,0,1966,8.0,1918.0,23.0,1750.0,7,1,1,0,0,-15.0,2,168.0,1
1966-07-12,Soviet Union,North Korea,3,0,1966,5.0,1975.0,15.0,1828.0,2,0,1,0,0,-10.0,3,147.0,1
1966-07-13,France,Mexico,1,1,1966,28.0,1737.0,14.0,1841.0,5,5,0,1,0,14.0,0,-104.0,0
1966-07-13,Argentina,Spain,2,1,1966,4.0,1982.0,10.0,1865.0,4,3,1,0,0,-6.0,1,117.0,1
1966-07-13,Portugal,Hungary,3,1,1966,3.0,1986.0,6.0,1957.0,0,5,1,0,0,-3.0,2,29.0,1
1966-07-13,Italy,Chile,2,0,1966,7.0,1948.0,29.0,1724.0,5,3,1,0,0,-22.0,2,224.0,1
1966-07-15,Uruguay,France,2,1,1966,13.0,1846.0,28.0,1737.0,4,5,1,0,0,-15.0,1,109.0,1
1966-07-15,Spain,Switzerland,2,1,1966,10.0,1865.0,44.0,1602.0,3,5,1,0,0,-34.0,1,263.0,1
1966-07-15,Hungary,Brazil,3,1,1966,6.0,1957.0,8.0,1918.0,5,7,1,0,0,-2.0,2,39.0,1
1966-07-15,Chile,North Korea,1,1,1966,29.0,1724.0,15.0,1828.0,3,0,0,1,0,14.0,0,-104.0,0
1966-07-16,Argentina,West Germany,0,0,1966,4.0,1982.0,2.0,2042.0,4,3,0,1,0,2.0,0,-60.0,0
1966-07-16,Portugal,Bulgaria,3,0,1966,3.0,1986.0,23.0,1750.0,0,1,1,0,0,-20.0,3,236.0,1
1966-07-16,Soviet Union,Italy,1,0,1966,5.0,1975.0,7.0,1948.0,2,5,1,0,0,-2.0,1,27.0,1
1966-07-16,England,Mexico,2,0,1966,1.0,2088.0,14.0,1841.0,4,5,1,0,0,-13.0,2,247.0,1
1966-07-19,Mexico,Uruguay,0,0,1966,14.0,1841.0,13.0,1846.0,5,4,0,1,0,1.0,0,-5.0,0
1966-07-19,Argentina,Switzerland,2,0,1966,4.0,1982.0,44.0,1602.0,4,5,1,0,0,-40.0,2,380.0,1
1966-07-19,Portugal,Brazil,3,1,1966,3.0,1986.0,8.0,1918.0,0,7,1,0,0,-5.0,2,68.0,1
1966-07-19,North Korea,Italy,1,0,1966,15.0,1828.0,7.0,1948.0,0,5,1,0,0,8.0,1,-120.0,0
1966-07-20,England,France,2,0,1966,1.0,2088.0,28.0,1737.0,4,5,1,0,0,-27.0,2,351.0,1
1966-07-20,West Germany,Spain,2,1,1966,2.0,2042.0,10.0,1865.0,3,3,1,0,0,-8.0,1,177.0,1
1966-07-20,Hungary,Bulgaria,3,1,1966,6.0,1957.0,23.0,1750.0,5,1,1,0,0,-17.0,2,207.0,1
1966-07-20,Soviet Union,Chile,2,1,1966,5.0,1975.0,29.0,1724.0,2,3,1,0,0,-24.0,1,251.0,1
1966-07-23,England,Argentina,1,0,1966,1.0,2088.0,4.0,1982.0,4,4,1,0,0,-3.0,1,106.0,1
1966-07-23,Portugal,North Korea,5,3,1966,3.0,1986.0,15.0,1828.0,0,0,1,0,0,-12.0,2,158.0,1
1966-07-23,Soviet Union,Hungary,2,1,1966,5.0,1975.0,6.0,1957.0,2,5,1,0,0,-1.0,1,18.0,1
1966-07-23,West Germany,Uruguay,4,0,1966,2.0,2042.0,13.0,1846.0,3,4,1,0,0,-11.0,4,196.0,1
1966-07-25,West Germany,Soviet Union,2,1,1966,2.0,2042.0,5.0,1975.0,3,2,1,0,0,-3.0,1,67.0,1
1966-07-26,England,Portugal,2,1,1966,1.0,2088.0,3.0,1986.0,4,0,1,0,0,-2.0,1,102.0,1
1966-07-28,Portugal,Soviet Union,2,1,1966,3.0,1986.0,5.0,1975.0,0,2,1,0,0,-2.0,1,11.0,1
1966-07-30,England,West Germany,4,2,1966,1.0,2088.0,2.0,2042.0,4,3,1,0,0,-1.0,2,46.0,1
1970-05-31,Mexico,Soviet Union,0,0,1970,29.0,1730.0,5.0,1962.0,6,3,0,1,0,24.0,0,-232.0,0
1970-06-02,Uruguay,Israel,2,0,1970,9.0,1854.0,39.0,1668.0,5,0,1,0,0,-30.0,2,186.0,1
1970-06-02,England,Romania,1,0,1970,2.0,2039.0,18.0,1804.0,5,3,1,0,0,-16.0,1,235.0,1
1970-06-02,Peru,Bulgaria,3,2,1970,22.0,1759.0,28.0,1731.0,1,2,1,0,0,-6.0,1,28.0,1
1970-06-03,Belgium,El Salvador,3,0,1970,24.0,1740.0,68.0,1492.0,4,0,1,0,0,-44.0,3,248.0,1
1970-06-03,Italy,Sweden,1,0,1970,4.0,2023.0,11.0,1848.0,6,4,1,0,0,-7.0,1,175.0,1
